Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Benin,2020-03-31,6.0,0.62,0.0,0.0,0.0,0.0,0.0
Benin,2020-04-01,9.0,0.93,1.0,0.0,0.0,3.0,0.0
Benin,2020-04-02,9.0,0.93,1.0,0.0,0.0,0.0,0.0
Benin,2020-04-03,13.0,1.35,1.0,0.0,0.0,4.0,0.0
Benin,2020-04-07,26.0,2.22,5.0,1.0,0.038461538461538464,13.0,1.0
Benin,2020-04-10,26.0,2.22,5.0,1.0,0.038461538461538464,0.0,0.0
Benin,2020-04-11,35.0,2.98,5.0,1.0,0.028571428571428567,9.0,0.0
Benin,2020-04-12,35.0,2.98,5.0,1.0,0.028571428571428567,0.0,0.0
Benin,2020-04-14,35.0,2.98,5.0,1.0,0.028571428571428567,0.0,0.0
Benin,2020-04-17,35.0,2.98,5.0,1.0,0.028571428571428567,0.0,0.0
Benin,2020-04-18,35.0,2.98,5.0,1.0,0.028571428571428567,0.0,0.0
Benin,2020-04-20,35.0,2.98,18.0,1.0,0.028571428571428567,0.0,0.0
Benin,2020-04-22,54.0,4.6,27.0,1.0,0.018518518518518517,19.0,0.0
Benin,2020-04-23,54.0,4.6,27.0,1.0,0.018518518518518517,0.0,0.0
Benin,2020-04-24,54.0,4.6,27.0,1.0,0.018518518518518517,0.0,0.0
Benin,2020-04-25,58.0,4.94,27.0,1.0,0.017241379310344827,4.0,0.0
Benin,2020-04-26,58.0,4.94,27.0,1.0,0.017241379310344827,0.0,0.0
Benin,2020-04-27,64.0,5.45,33.0,1.0,0.015625,6.0,0.0
Benin,2020-04-28,64.0,5.45,33.0,1.0,0.015625,0.0,0.0
Benin,2020-04-29,64.0,5.45,33.0,1.0,0.015625,0.0,0.0
Benin,2020-04-30,64.0,5.45,33.0,1.0,0.015625,0.0,0.0
Benin,2020-05-01,69.0,6.0,33.0,2.0,0.028985507246376805,5.0,1.0
Benin,2020-05-02,90.0,8.0,42.0,2.0,0.022222222222222227,21.0,0.0
Benin,2020-05-03,90.0,8.0,42.0,2.0,0.022222222222222227,0.0,0.0
Benin,2020-05-04,90.0,8.0,42.0,2.0,0.022222222222222227,0.0,0.0
Benin,2020-05-05,96.0,8.0,50.0,2.0,0.02083333333333333,6.0,0.0
Benin,2020-05-06,96.0,8.0,50.0,2.0,0.02083333333333333,0.0,0.0
Benin,2020-05-07,96.0,8.0,50.0,2.0,0.02083333333333333,0.0,0.0
Benin,2020-05-08,140.0,12.0,53.0,2.0,0.014285714285714284,44.0,0.0
Benin,2020-05-09,242.0,21.0,62.0,2.0,0.008264462809917356,102.0,0.0
Benin,2020-05-10,284.0,24.0,62.0,2.0,0.007042253521126761,42.0,0.0
Benin,2020-05-11,319.0,27.0,62.0,2.0,0.006269592476489028,35.0,0.0
Benin,2020-05-12,319.0,27.0,62.0,2.0,0.006269592476489028,0.0,0.0
